SKU,SKU Description,x86,IBM POWER,ARM,Physical,Virtual,Virtual Datacenters,HPC,SAP,Sap Applications,SAP Solutions,Premium,Standard,Self Support,Add-on,Satellite / Smart Management ,Extended Update support,Extended life cycle support,High availability,Disaster Recovery,"Is it for Edge, Endpoint or gateway?",,Currency,1-Year MSRP,3-Year MSRP,Product Line,# of Sockets,# of Cores,# of Nodes,Support Type,Virtual Guests,System Unit of Measure,Channel F3 SKU
RH00014,"Red Hat Enterprise Linux Server (Disaster Recovery), Standard (Physical or Virtual Nodes)",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,GBP,276,745.2,RHEL,2,,,STANDARD,0,PHYSICAL NODE OR VIRTUAL NODE,RH00014F3
RH00005,"Red Hat Enterprise Linux Server Entry Level, Self-support",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,241,650.19,RHEL,2,,,SELF-SUPPORT,0,SYSTEM,RH00005F3
RH00015,"Red Hat Enterprise Linux Server Entry Level (Disaster Recovery), Self-support",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,GBP,121,326.03,RHEL,2,,,SELF-SUPPORT,0,SYSTEM,RH00015F3
RH00010,"Red Hat Enterprise Linux Server Entry Level with Satellite, Self-support",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,482,1302.24,RHEL,2,,,SELF-SUPPORT,0,SYSTEM,RH00010F3
RH00020,"Red Hat Enterprise Linux Server Entry Level with Satellite (Disaster Recovery), Self-support",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,GBP,296,799.23,RHEL,2,,,SELF-SUPPORT,0,SYSTEM,RH00020F3
RH02572,"Red Hat Enterprise Linux Server for ARM, Standard (Physical Node)",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,551,1488.54,RHEL,2,,,STANDARD,0,PHYSICAL NODE,RH02572F3
RH02584,"Red Hat Enterprise Linux Server for ARM, Premium (Physical Node)",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,896,2420.04,RHEL,2,,,PREMIUM,0,PHYSICAL NODE,RH02584F3
RH02577,"Red Hat Enterprise Linux Server for ARM with Satellite, Standard (Physical Node)",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,810,2187.16,RHEL,2,,,STANDARD,0,PHYSICAL NODE,RH02577F3
RH02578,"Red Hat Enterprise Linux Server for ARM with Satellite, Premium (Physical Node)",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,1201,3243.48,RHEL,2,,,PREMIUM,0,PHYSICAL NODE,RH02578F3
RH00434,"Red Hat Enterprise Linux Server for ATOM, Hyperscale, Premium (5 Physical Nodes)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,1139,3073.95,RHEL,0,,,PREMIUM,0,PHYSICAL NODE,RH00434F3
RH00435,"Red Hat Enterprise Linux Server for ATOM, Hyperscale, Standard (5 Physical Nodes)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,689,1861.14,RHEL,0,,,STANDARD,0,PHYSICAL NODE,RH00435F3
RH00584,"Red Hat Enterprise Linux Server for HPC, Single System, Premium (Physical or Virtual Nodes)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,310,836.49,RHEL,2,,,PREMIUM,0,SYSTEM,RH00584F3
RH00585,"Red Hat Enterprise Linux Server for HPC, Single System, Standard (Physical or Virtual Nodes)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,206,557.04,RHEL,2,,,STANDARD,0,SYSTEM,RH00585F3
RH00559,"Red Hat Enterprise Linux Server for HPC Compute Node, Self-support (Physical or Virtual Node)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,55,147.18,RHEL,2,,,SELF-SUPPORT,0,SYSTEM,RH00559F3
RH02566,"Red Hat Enterprise Linux Server for HPC Compute Node for ARM, Self-support (Physical)",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,55,147.18,RHEL,2,,,SELF-SUPPORT,0,PHYSICAL NODE,RH02566F3
RH02567,"Red Hat Enterprise Linux Server for HPC Compute Node for ARM with Satellite, Self-support (Physical)",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,118,318.57,RHEL,2,,,SELF-SUPPORT,0,PHYSICAL NODE,RH02567F3
RH00575,"Red Hat Enterprise Linux Server for HPC Compute Node for IBM Power, LE, Self-support",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,55,147.18,RHEL,2,,,SELF-SUPPORT,0,SYSTEM,RH00575F3
RH00561,"Red Hat Enterprise Linux Server for HPC Compute Node with Extended Update Support, Self-support (Physical or Virtual Node)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,GBP,93,251.51,RHEL,2,,,SELF-SUPPORT,0,SYSTEM,RH00561F3
